timestamp,nx,ny,nz,visibility_score,inlier_score,combined_score
1774618517.172089100,0.023018,0.023736,-0.999453,0.3237,0.7824,0.5072
1774618517.222075939,0.008402,0.024086,-0.999675,0.2375,0.7747,0.4524
1774618517.272103071,0.014935,0.025264,-0.999569,0.5427,0.7930,0.6428
1774618517.322107077,0.010338,0.029069,-0.999524,0.7139,0.7893,0.7440
1774618517.372164965,0.033098,0.020374,-0.999244,0.8447,0.7771,0.8177
1774618517.422106028,0.008177,0.026188,-0.999624,0.9356,0.8074,0.8843
1774618517.472106934,0.009264,0.023960,-0.999670,0.9887,0.8050,0.9152
1774618517.522152901,0.018642,0.028896,-0.999409,0.9952,0.8138,0.9226
1774618517.571688890,0.025859,0.028198,-0.999268,0.9506,0.8170,0.8972
1774618517.621808052,0.014905,0.030203,-0.999433,0.8559,0.8272,0.8444
1774618517.671350956,0.024339,0.034024,-0.999125,0.7026,0.8107,0.7458
1774618517.721347094,0.024972,0.023772,-0.999405,0.5402,0.8102,0.6482
1774618517.771338940,0.038146,0.027085,-0.998905,0.3933,0.7922,0.5528
1774618517.820975065,0.042164,0.031755,-0.998606,0.2602,0.7711,0.4645
1774618517.870928049,0.020365,0.024705,-0.999487,0.1453,0.8194,0.4150
1774618517.920972109,0.029110,0.029717,-0.999134,0.0568,0.8185,0.3615
1774618517.970966101,0.024708,0.031327,-0.999204,0.1270,0.8321,0.4091
1774618518.020978928,0.035505,0.026228,-0.999025,0.1752,0.8151,0.4312
1774618518.071017027,0.024366,0.030144,-0.999249,0.2320,0.8234,0.4685
1774618518.120976925,0.037001,0.033700,-0.998747,0.2827,0.7828,0.4827
1774618518.170787096,0.024644,0.023134,-0.999429,0.3404,0.8280,0.5354
1774618518.220694065,0.032520,0.030125,-0.999017,0.4265,0.8322,0.5888
1774618518.270601034,0.027217,0.025512,-0.999304,0.5370,0.8373,0.6571
1774618518.320656061,0.016586,0.023046,-0.999597,0.6270,0.8248,0.7061
1774618518.370605946,0.023413,0.025103,-0.999411,0.7146,0.8501,0.7688
1774618518.420644045,0.030897,0.029873,-0.999076,0.7621,0.8494,0.7970
1774618518.470632076,0.018325,0.028289,-0.999432,0.7951,0.8607,0.8213
1774618518.520694971,0.016183,0.024303,-0.999574,0.8080,0.8641,0.8304
1774618518.570640087,0.023515,0.026186,-0.999380,0.8137,0.8540,0.8298
1774618518.620660067,0.035396,0.031503,-0.998877,0.7967,0.8503,0.8181
1774618518.670640945,0.022890,0.031620,-0.999238,0.7598,0.8663,0.8024
1774618518.720683098,0.028379,0.034553,-0.999000,0.6982,0.8498,0.7588
1774618518.770689964,0.040648,0.036226,-0.998517,0.5913,0.8252,0.6849
1774618518.820671082,0.009992,0.022296,-0.999701,0.4277,0.8492,0.5963
1774618518.870678902,0.017044,0.025361,-0.999533,0.0618,0.9221,0.4059
1774618518.920715094,0.018552,0.032630,-0.999295,0.2293,1.0000,0.5376
1774618519.071146011,0.018769,0.024900,-0.999514,0.3543,1.0000,0.6126
1774618519.221151114,0.018995,0.031720,-0.999316,0.3573,1.0000,0.6144
1774618519.321120024,0.037179,0.024144,-0.999017,0.2360,0.9852,0.5357
1774618519.471163034,0.015702,0.032478,-0.999349,0.1199,1.0000,0.4719
1774618519.521600962,0.022629,0.031896,-0.999235,0.1058,1.0000,0.4635
1774618519.622039080,0.024003,0.025367,-0.999390,0.1653,1.0000,0.4992
1774618519.771574974,0.022217,0.027676,-0.999370,0.1715,1.0000,0.5029
1774618519.871200085,0.045310,0.029844,-0.998527,0.1853,0.8981,0.4704
1774618519.921221972,0.012217,0.023235,-0.999655,0.1858,0.8981,0.4708
1774618519.971223116,0.042297,0.032846,-0.998565,0.1821,0.9138,0.4748
1774618520.021202087,0.018137,0.027605,-0.999454,0.1769,0.9110,0.4706
1774618520.070842981,0.022712,0.028564,-0.999334,0.2191,0.9676,0.5185
1774618520.120860100,0.039094,0.032444,-0.998709,0.2446,0.9017,0.5074
1774618520.170856953,0.032333,0.032615,-0.998945,0.2804,0.9877,0.5633
1774618520.220848083,0.024101,0.029436,-0.999276,0.2936,0.9917,0.5729
1774618520.270848036,0.017469,0.025164,-0.999531,0.2916,0.9481,0.5542
1774618520.321269989,0.018566,0.023903,-0.999542,0.2859,0.9082,0.5348
1774618520.371248960,0.023433,0.034552,-0.999128,0.2908,0.9011,0.5349
1774618520.421283007,0.021816,0.025524,-0.999436,0.2858,0.8744,0.5212
1774618520.471298933,0.034084,0.032550,-0.998889,0.2844,0.8640,0.5163
1774618520.521693945,0.003013,0.033519,-0.999434,0.2926,0.8280,0.5068
1774618520.571721077,-0.000708,0.041935,-0.999120,0.3129,0.7852,0.5018
1774618520.622092962,0.012409,0.034635,-0.999323,0.3231,0.8229,0.5230
1774618520.672127008,0.028517,0.027949,-0.999202,0.3510,0.8534,0.5520
1774618520.722137928,0.025199,0.025539,-0.999356,0.3675,0.8532,0.5617
1774618520.772134066,0.017415,0.025870,-0.999514,0.3825,0.8588,0.5730
1774618520.822375059,0.026157,0.033205,-0.999106,0.3451,0.8185,0.5345
1774618520.872186899,0.023873,0.033611,-0.999150,0.3758,0.8120,0.5503
1774618520.921756983,0.030767,0.035016,-0.998913,0.3922,0.7862,0.5498
1774618520.971376896,0.011849,0.027697,-0.999546,0.4160,0.8018,0.5703
1774618521.020968914,0.013370,0.029485,-0.999476,0.4796,0.8035,0.6092
1774618521.071022034,0.031553,0.027905,-0.999112,0.5543,0.8003,0.6527
1774618521.120975971,0.026438,0.028240,-0.999251,0.6365,0.7984,0.7012
1774618521.170991898,0.020728,0.028537,-0.999378,0.7454,0.7891,0.7629
1774618521.221421957,0.029053,0.022079,-0.999334,0.8659,0.7564,0.8221
1774618521.271416903,0.014470,0.021589,-0.999662,0.9096,0.7468,0.8444
1774618521.321841002,0.033027,0.028767,-0.999040,0.4916,0.7423,0.5919
1774618521.371887922,0.018800,0.032490,-0.999295,0.1700,0.7508,0.4023
1774618521.421807051,0.026679,0.034079,-0.999063,0.7821,0.7352,0.7634
