timestamp,normal_type,nx,ny,nz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,fallback_unavailable,recovered_from_segmentation_failure
1784806292.321455,scored,-0.0401759,0.111184,0.992987,-165.373,3.76722,0.117684,0,0.0764946,0.117684,0,0.0764946,18,2064,0.00872093,0,1,0
1784806292.321455,smoothed_raw,-0.104618,0.23756,0.965723,-165.373,3.76722,0.117684,0,0.0764946,0.117684,0,0.0764946,18,2064,0.00872093,0,1,0
1784806292.321455,smoothed_scored,-0.0697109,0.16769,0.983372,-165.373,3.76722,0.117684,0,0.0764946,0.117684,0,0.0764946,18,2064,0.00872093,0,1,0
1784806292.371846,raw,-0.00331204,0.022437,0.999743,-172.588,7.60065,0.110965,0,0.0721273,0.110965,0,0.0721273,10,1152,0.00868056,0,1,0
1784806292.371846,scored,-0.00331204,0.022437,0.999743,-172.588,7.60065,0.110965,0,0.0721273,0.110965,0,0.0721273,10,1152,0.00868056,0,1,0
1784806292.371846,smoothed_raw,-0.0335907,0.0907737,0.995305,-172.588,7.60065,0.110965,0,0.0721273,0.110965,0,0.0721273,10,1152,0.00868056,0,1,0
1784806292.371846,smoothed_scored,-0.0140334,0.0473419,0.99878,-172.588,7.60065,0.110965,0,0.0721273,0.110965,0,0.0721273,10,1152,0.00868056,0,1,0
1784806292.421885,raw,-0.107663,0.151642,0.982555,-172.588,7.60065,0.110965,0,0.0721273,0.110965,0,0.0721273,12,816,0.0147059,0,1,0
1784806292.421885,scored,-0.107663,0.151642,0.982555,-172.588,7.60065,0.110965,0,0.0721273,0.110965,0,0.0721273,12,816,0.0147059,0,1,0
1784806292.421885,smoothed_raw,-0.0501675,0.0837034,0.995227,-172.588,7.60065,0.110965,0,0.0721273,0.110965,0,0.0721273,12,816,0.0147059,0,1,0
1784806292.421885,smoothed_scored,-0.0830238,0.121784,0.989078,-172.588,7.60065,0.110965,0,0.0721273,0.110965,0,0.0721273,12,816,0.0147059,0,1,0
1784806292.471978,raw,0.0395247,0.0393273,0.998444,-179.696,11.3687,0.04906,0,0.031889,0.04906,0,0.031889,11,928,0.0118534,0,1,0
1784806292.471978,scored,0.0395247,0.0393273,0.998444,-179.696,11.3687,0.04906,0,0.031889,0.04906,0,0.031889,11,928,0.0118534,0,1,0
1784806292.471978,smoothed_raw,-0.0386654,0.0958863,0.994641,-179.696,11.3687,0.04906,0,0.031889,0.04906,0,0.031889,11,928,0.0118534,0,1,0
1784806292.471978,smoothed_scored,0.00518296,0.0650722,0.997867,-179.696,11.3687,0.04906,0,0.031889,0.04906,0,0.031889,11,928,0.0118534,0,1,0
